,CPI_2017,CPI_abs_growth,other_eco_indices,recycling_%_waste,plastic_%_waste,hazardous_waste_norm,e_waste_norm,total_municipal_solid_waste_norm,national_agency_solid_waste_management,national_law_solid_waste_management,SDI_2017,SDI_abs_growth,CO2_capita_2017,CO2_capita_growth,gini_index_2017,gini_growth,moderate_poverty_%_$5.50_2017,moderate_pov_growth,extreme_poverty_%_$1.90_2017,extreme_pov_growth,gdp_per_capita_2017,gdp_capita_growth,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth,gender_eq_2017,gender_abs_growth,homicide_rate_2017,homicide_growth
62,30.0,-6.0,29.666666666666668,0.153,0.1,0.0,0.002,1.12,1.0,1.0,0.741,0.0050000000000000044,2.12,-0.0011282465746331738,25.9,-0.023699790450106284,15.8,-0.08020897185716203,0.1,-0.1972584382397693,3509.6929999999998,0.028762820616681006,0.7090000000000001,-3.0,0.56,4.5,-0.5,3.4730000000000003,-0.09174217066306456
63,45.0,4.0,48.76500000000001,0.054000000000000006,0.184,0.006,0.01,0.534,1.0,1.0,0.484,-0.041000000000000036,3.5469999999999997,-0.013217404848869796,39.0,-0.010915312938572397,19.3,-0.039429906348359633,1.4,-0.16260604064943718,7803.411,0.03448224858209725,0.813,1.0,0.36,4.1,-0.15000000000000036,2.39,-0.025249139910609064
64,83.0,-1.0,83.33333333333333,0.24600000000000002,0.14,0.285,0.032,0.523,1.0,1.0,0.27699999999999997,-0.062,9.081,-0.005160838495733566,28.5,0.006438300233088334,0.4,0.1486983549970351,0.2,0.1486983549970351,48675.222,-0.005646388563079308,0.932,-3.0,0.31,4.1,-0.15000000000000036,0.775,-0.02150729541844032
65,85.0,0.0,85.33333333333333,0.262,0.022000000000000002,0.28600000000000003,0.028999999999999998,0.42200000000000004,1.0,1.0,0.196,-0.021999999999999992,6.587000000000001,-0.009643268953730466,27.0,0.009918035733129882,0.5,0.20112443398143132,0.3,0.2457309396155174,75496.754,-0.057520765338993085,0.953,0.0,0.16,4.1,-0.15000000000000036,0.529,-0.0037384224441590064
66,62.0,4.0,57.666666666666664,0.264,0.121,0.044000000000000004,0.006,0.28600000000000003,1.0,1.0,0.385,-0.11099999999999999,7.96,0.016018261549273882,29.7,-0.0208516376390232,1.3,-0.14225723363184883,0.3,0.08447177119769855,13861.309,0.010660213916389605,0.868,2.0,0.54,4.1,-0.15000000000000036,0.7559999999999999,-0.06711608794573332
67,62.0,-1.0,61.666666666666664,0.162,0.107,0.067,0.016,0.45299999999999996,1.0,1.0,0.574,-0.10000000000000009,4.928,0.01693999372889965,33.8,-0.01253243389158687,1.8,-0.16369640106700045,0.4,-0.10588703934201882,21490.43,0.008843366952868692,0.848,1.0,0.42,4.1,-0.15000000000000036,0.7390000000000001,-0.0860715423325008
68,48.0,4.0,45.666666666666664,0.057,0.12300000000000001,0.03,0.006999999999999999,0.247,1.0,1.0,0.6970000000000001,-0.05599999999999994,3.614,0.00585691599289917,36.0,-0.002754862808357905,12.8,-0.14057206785308918,3.1,-0.11154643700534739,10807.795,0.04834984736711179,0.813,2.0,0.29,4.1,-0.15000000000000036,1.297,0.043555950163192136
69,29.0,1.0,32.0,0.045,0.142,0.768,0.01,0.419,1.0,1.0,0.684,-0.03799999999999992,10.636,-0.0002442736908172538,37.2,-0.01782312155749244,3.8,-0.024419685997750573,0.0,0.0,10720.333,-0.07013510583900096,0.8220000000000001,3.0,0.69,4.1,-0.15000000000000036,9.134,-0.041378238020404856
70,42.0,3.0,39.333333333333336,0.008,0.127,1.899,0.002,0.259,1.0,1.0,0.262,-0.268,6.569,0.009489426052990968,36.2,-0.019275251163202944,19.3,-0.026730739222087796,5.4,0.00374542323524385,6284.193,0.00876296968599255,0.794,4.0,0.6,4.1,-0.15000000000000036,1.065,-0.030281675598297753
71,51.0,5.0,47.666666666666664,0.076,0.11,0.069,0.006,0.32899999999999996,1.0,1.0,0.214,-0.04600000000000001,5.9239999999999995,0.017529594556213723,25.2,-0.006993693462086226,3.2,0.034563715943573214,1.3,0.34080129120845726,17554.308,0.0010774095089789437,0.8540000000000001,1.0,0.42,4.1,-0.15000000000000036,1.4680000000000002,0.04768148306603592
